"from","to","weight"
"NFKB1","LCK",927
"IL2","LCK",974
"IL2","LCK",974
"PDGFRB","LCK",919
"PDGFRB","LCK",919
"AKT3","LCK",716
"AKT3","LCK",716
"EGFR","LCK",932
"EGFR","LCK",932
"EPHA1","LCK",911
"EPHA1","LCK",911
"EPHA4","LCK",905
"EPHA4","LCK",905
"KIT","LCK",778
"KIT","LCK",778
"CAPN2","LCK",901
"CAPN2","LCK",901
"GNG2","LCK",901
"GNG2","LCK",901
"EPHA3","LCK",906
"EPHA3","LCK",906
"TTR","SNCA",829
"TTR","SNCA",829
"EGFR","SNCA",716
"EGFR","SNCA",716
"APP","SNCA",987
"APP","SNCA",987
"SLC18A2","SNCA",954
"SLC18A2","SNCA",954
"LRRK2","SNCA",989
"LRRK2","SNCA",989
"GSK3B","SNCA",722
"GSK3B","SNCA",722
"LCK","SNCA",911
"LCK","SNCA",911
"HDAC5","CAMK2D",923
"HDAC5","CAMK2D",923
"EP300","CAMK2D",817
"EP300","CAMK2D",817
"HDAC4","CAMK2D",724
"HDAC4","CAMK2D",724
"GRIA4","CAMK2D",930
"GRIA4","CAMK2D",930
"GRIA2","CAMK2D",929
"GRIA2","CAMK2D",929
"NOS3","CAMK2D",817
"NOS3","CAMK2D",817
"DRD4","MAOA",831
"DRD4","MAOA",831
"TPH1","MAOA",838
"TPH1","MAOA",838
"SLC18A2","MAOA",723
"SLC18A2","MAOA",723
"HTR1A","MAOA",772
"HTR1A","MAOA",772
"TUBB1","MAPT",835
"TUBB1","MAPT",835
"GSK3A","MAPT",967
"GSK3A","MAPT",967
"PIN1","MAPT",814
"PIN1","MAPT",814
"PRKAB2","MAPT",900
"PRKAB2","MAPT",900
"PRKX","MAPT",710
"PRKX","MAPT",710
"EP300","MAPT",742
"EP300","MAPT",742
"EGFR","MAPT",752
"EGFR","MAPT",752
"APP","MAPT",969
"APP","MAPT",969
"LRRK2","MAPT",932
"LRRK2","MAPT",932
"BACE1","MAPT",747
"BACE1","MAPT",747
"GSK3B","MAPT",999
"GSK3B","MAPT",999
"HDAC6","MAPT",857
"HDAC6","MAPT",857
"LCK","MAPT",740
"LCK","MAPT",740
"SNCA","MAPT",988
"SNCA","MAPT",988
"CAMK2D","MAPT",923
"CAMK2D","MAPT",923
"CSK","PTPN11",936
"CSK","PTPN11",936
"IL2","PTPN11",947
"IL2","PTPN11",947
"NR0B2","PTPN11",825
"NR0B2","PTPN11",825
"PDGFRB","PTPN11",998
"PDGFRB","PTPN11",998
"ICAM1","PTPN11",753
"ICAM1","PTPN11",753
"EGFR","PTPN11",999
"EGFR","PTPN11",999
"LY96","PTPN11",905
"LY96","PTPN11",905
"KIT","PTPN11",990
"KIT","PTPN11",990
"NOS3","PTPN11",952
"NOS3","PTPN11",952
"PTPN2","PTPN11",927
"PTPN2","PTPN11",927
"GNG2","PTPN11",900
"GNG2","PTPN11",900
"CCKBR","PTPN11",813
"CCKBR","PTPN11",813
"LCK","PTPN11",946
"LCK","PTPN11",946
"NR0B2","ESR2",952
"NR0B2","ESR2",952
"EP300","ESR2",830
"EP300","ESR2",830
"NCOR1","ESR2",980
"NCOR1","ESR2",980
"EGFR","ESR2",759
"EGFR","ESR2",759
"NOS3","ESR2",984
"NOS3","ESR2",984
"FOS","ESR2",970
"FOS","ESR2",970
"GNG2","ESR2",900
"GNG2","ESR2",900
"IMPDH2","IMPDH1",974
"IMPDH2","IMPDH1",974
"APP","CTSB",778
"APP","CTSB",778
"CTSL","CTSB",915
"CTSL","CTSB",915
"CFTR","PRKAA1",960
"CFTR","PRKAA1",960
"PRKAB2","PRKAA1",999
"PRKAB2","PRKAA1",999
"HMGCR","PRKAA1",881
"HMGCR","PRKAA1",881
"CAMKK2","PRKAA1",970
"CAMKK2","PRKAA1",970
"MAPT","PRKAA1",913
"MAPT","PRKAA1",913
"CSK","FYN",981
"CSK","FYN",981
"IL2","FYN",949
"IL2","FYN",949
"PDGFRB","FYN",980
"PDGFRB","FYN",980
"AKT3","FYN",757
"AKT3","FYN",757
"EGFR","FYN",938
"EGFR","FYN",938
"EPHA1","FYN",918
"EPHA1","FYN",918
"EPHA4","FYN",956
"EPHA4","FYN",956
"APP","FYN",812
"APP","FYN",812
"KIT","FYN",786
"KIT","FYN",786
"CAPN2","FYN",911
"CAPN2","FYN",911
"GSK3B","FYN",923
"GSK3B","FYN",923
"EPHB3","FYN",774
"EPHB3","FYN",774
"EPHA3","FYN",933
"EPHA3","FYN",933
"LCK","FYN",930
"LCK","FYN",930
"SNCA","FYN",983
"SNCA","FYN",983
"MAPT","FYN",997
"MAPT","FYN",997
"PTPN11","FYN",974
"PTPN11","FYN",974
"NOS3","PDE5A",736
"NOS3","PDE5A",736
"C3AR1","C5AR1",706
"C3AR1","C5AR1",706
"CDK4","BLOOM SYNDROME PROTEIN",845
"CDK4","BLOOM SYNDROME PROTEIN",845
"CDK2","BLOOM SYNDROME PROTEIN",811
"CDK2","BLOOM SYNDROME PROTEIN",811
"TERT","BLOOM SYNDROME PROTEIN",759
"TERT","BLOOM SYNDROME PROTEIN",759
"CHOLESTEROL 24-HYDROXYLASE","DHCR7",922
"CHOLESTEROL 24-HYDROXYLASE","DHCR7",922
"SIGMAR1","DHCR7",843
"SIGMAR1","DHCR7",843
"HMGCR","DHCR7",854
"HMGCR","DHCR7",854
"CAMK2D","CACNA2D1",700
"CAMK2D","CACNA2D1",700
"ODC1","ARG1",985
"ODC1","ARG1",985
"ARG2","ARG1",880
"ARG2","ARG1",880
"IL1B","ARG1",751
"IL1B","ARG1",751
"NOS3","ARG1",966
"NOS3","ARG1",966
"NOS2","ARG1",983
"NOS2","ARG1",983
"EGFR","CALM1",915
"EGFR","CALM1",915
"NOS3","CALM1",997
"NOS3","CALM1",997
"CAMKK2","CALM1",794
"CAMKK2","CALM1",794
"NOS2","CALM1",981
"NOS2","CALM1",981
"SNCA","CALM1",942
"SNCA","CALM1",942
"CAMK2D","CALM1",908
"CAMK2D","CALM1",908
"MAPT","CALM1",838
"MAPT","CALM1",838
"NR3C1","NR3C2",814
"NR3C1","NR3C2",814
"REN","NR3C2",863
"REN","NR3C2",863
"ACE","NR3C2",863
"ACE","NR3C2",863
"CFTR","PSMB10",902
"CFTR","PSMB10",902
"PSMA4","PSMB10",998
"PSMA4","PSMB10",998
"PSMA3","PSMB10",999
"PSMA3","PSMB10",999
"PSMA2","PSMB10",999
"PSMA2","PSMB10",999
"NFKB1","PSMB10",920
"NFKB1","PSMB10",920
"ODC1","PSMB10",910
"ODC1","PSMB10",910
"PSMB7","PSMB10",902
"PSMB7","PSMB10",902
"PSMA6","PSMB10",999
"PSMA6","PSMB10",999
"PSMB1","PSMB10",999
"PSMB1","PSMB10",999
"PSMB6","PSMB10",996
"PSMB6","PSMB10",996
"PSMA5","PSMB10",998
"PSMA5","PSMB10",998
"PSMB4","PSMB10",999
"PSMB4","PSMB10",999
"PSMA8","PSMB10",989
"PSMA8","PSMB10",989
"SPR","AKR1B10",910
"SPR","AKR1B10",910
"TPH1","AKR1B10",902
"TPH1","AKR1B10",902
"G6PC","AKR1B10",817
"G6PC","AKR1B10",817
"QDPR","AKR1B10",926
"QDPR","AKR1B10",926
"AKR1B1","AKR1B10",908
"ALDOSE REDUCTASE","AKR1B10",908
"AKR1B1","AKR1B10",908
"ALDOSE REDUCTASE","AKR1B10",908
"CBR1","AKR1B10",910
"CBR1","AKR1B10",910
"TPH2","AKR1B10",902
"TPH2","AKR1B10",902
"CFTR","SCNN1A",871
"CFTR","SCNN1A",871
"SGK2","SCNN1A",907
"SGK2","SCNN1A",907
"FOLH1","DPP4",744
"FOLH1","DPP4",744
"DNPEP","DPP4",759
"DNPEP","DPP4",759
"ACE","DPP4",761
"ACE","DPP4",761
"ANPEP","DPP4",783
"ANPEP","DPP4",783
"MMP15","MMP17",914
"MMP15","MMP17",914
"MMP14","MMP17",911
"MMP14","MMP17",911
"MMP25","MMP17",905
